Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Guangzhou,PM2.5 - Principal,2014-01-01 01:00 AM,2014,01,01,01,87.2,167,Unhealthy,100.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 02:00 AM,2014,01,01,02,89.5,169,Unhealthy,94.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 03:00 AM,2014,01,01,03,90.7,169,Unhealthy,93.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 04:00 AM,2014,01,01,04,88.8,168,Unhealthy,85.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 05:00 AM,2014,01,01,05,84.4,166,Unhealthy,76.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 06:00 AM,2014,01,01,06,76.9,162,Unhealthy,64.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 07:00 AM,2014,01,01,07,75.9,162,Unhealthy,74.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 08:00 AM,2014,01,01,08,78.8,163,Unhealthy,84.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 09:00 AM,2014,01,01,09,82.8,165,Unhealthy,90.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 10:00 AM,2014,01,01,10,80.7,164,Unhealthy,77.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 11:00 AM,2014,01,01,11,84.4,166,Unhealthy,91.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 12:00 PM,2014,01,01,12,73.6,160,Unhealthy,58.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 01:00 PM,2014,01,01,13,66.6,157,Unhealthy,56.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 02:00 PM,2014,01,01,14,67.3,157,Unhealthy,68.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 03:00 PM,2014,01,01,15,66.9,157,Unhealthy,66.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 04:00 PM,2014,01,01,16,66.5,157,Unhealthy,66.0,UG/M3,1 Hr,Valid
Guangzhou,PM2.5 - Principal,2014-01-01 05:00 PM,2014,01,01,17,69.0,158,Unhealthy,73.0,UG/M3,1 Hr,Valid
