Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shanghai,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,41.7,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,43.8,121,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,49.9,136,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,49.4,135,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,49.3,135,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,49.2,135,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,46.8,129,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,46.9,129,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,48.8,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,47.5,131,Unhealthy for Sensitive Groups,45.0,UG/M3,1 Hr,Valid
Shanghai,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,46.7,129,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
