Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Shenyang,PM2.5 - Principal,2021-01-01 01:00 AM,2021,01,01,01,26.0,80,Moderate,25.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,17.5,62,Moderate,9.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,11.7,49,Good,6.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,8.8,37,Good,6.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,6.4,27,Good,4.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,4.7,20,Good,3.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,7.3,30,Good,10.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,8.6,36,Good,10.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,10.8,45,Good,13.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,12.4,52,Moderate,14.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,13.2,53,Moderate,14.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,15.1,57,Moderate,17.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,12.5,52,Moderate,10.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,11.2,47,Good,10.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,12.1,51,Moderate,13.0,UG/M3,1 Hr,Valid
Shenyang,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,12.0,50,Good,12.0,UG/M3,1 Hr,Valid
